0;0
26;74
26;111
26;149
26;185
26;223
0;0
0;0
26;334
26;371
26;408
26;445
26;483
26;520
58;55
58;93
58;130
58;167
58;204
58;241
0;0
58;315
58;353
58;390
58;427
58;464
58;502
58;539
90;37
90;74
90;112
90;149
90;186
90;223
90;261
90;298
90;334
90;372
90;409
90;446
90;483
90;521
0;0
123;93
123;129
0;0
123;204
0;0
0;0
123;315
123;353
123;390
123;427
123;464
123;501
123;539
0;0
154;74
154;111
154;149
154;186
154;223
0;0
154;297
154;334
154;371
154;408
154;446
154;483
0;0
186;56
186;92
186;129
186;167
186;204
186;241
186;278
186;315
186;353
186;390
186;427
0;0
0;0
0;0
218;37
218;74
218;111
218;149
218;185
218;223
218;260
218;297
218;334
218;371
218;409
218;446
218;483
218;521
251;55
251;92
251;130
251;167
0;0
251;241
251;279
251;315
251;352
0;0
0;0
251;465
251;501
251;539
282;37
282;74
282;111
282;148
282;186
0;0
282;260
282;296
282;334
282;370
282;408
0;0
282;482
282;520
313;55
313;93
313;130
313;167
313;204
313;242
0;0
313;315
313;353
313;390
313;427
0;0
313;501
313;539
346;37
346;73
346;111
346;148
346;185
346;222
0;0
346;297
346;334
346;370
346;408
346;445
0;0
346;520
378;55
378;92
378;130
378;167
378;204
378;242
0;0
378;316
378;352
378;390
378;426
378;464
378;501
378;539
411;37
411;74
411;111
411;148
411;185
411;222
0;0
411;297
411;335
411;371
411;409
411;445
411;482
411;520
443;55
443;92
443;130
443;167
443;204
443;241
0;0
443;316
443;353
443;390
443;427
443;464
443;501
443;539
0;0
475;74
0;0
0;0
475;185
475;223
475;259
475;297
475;334
475;371
475;408
475;445
475;483
475;520
506;55
506;92
506;130
506;167
506;203
506;241
506;278
506;315
506;352
506;390
506;427
506;464
506;501
506;538
538;37
538;74
538;112
538;148
538;186
538;222
538;260
538;297
538;334
538;371
538;408
538;445
538;482
538;520
571;55
571;92
571;130
571;167
571;204
571;241
571;278
571;316
571;352
0;0
0;0
571;464
571;501
0;0
0;0
602;74
0;0
602;148
602;185
602;223
602;260
602;297
602;334
0;0
0;0
602;446
602;483
0;0
0;0
634;92
0;0
0;0
634;204
634;241
634;278
634;315
0;0
0;0
634;427
634;464
634;501
634;538
666;37
666;74
666;111
666;148
666;185
666;222
666;260
666;297
666;334
666;371
666;408
666;445
666;483
666;520
699;55
699;92
699;129
699;167
699;203
699;241
0;0
699;315
699;352
699;390
699;427
699;464
699;501
699;539
0;0
731;74
731;111
731;148
731;185
731;222
0;0
0;0
731;334
731;371
731;409
731;445
731;483
731;519













































































