w;0;0;0
d;1;2;0
d;1;3;0
b;1;4;0
b;1;5;0
b;1;6;0
w;0;0;0
w;0;0;0
b;1;9;0
b;1;10;0
b;1;11;0
b;1;12;0
b;1;13;0
d;1;14;0
d;2;1;0
l;2;2;1
d;2;3;0
d;2;4;0
b;2;5;0
d;2;6;0
w;0;0;0
d;2;8;0
d;2;9;0
b;2;10;0
d;2;11;0
d;2;12;0
l;2;13;4
d;2;14;0
b;3;1;0
d;3;2;0
d;3;3;0
d;3;4;0
d;3;5;0
d;3;6;0
d;3;7;0
d;3;8;0
d;3;9;0
d;3;10;0
d;3;11;0
d;3;12;0
d;3;13;0
b;3;14;0
w;0;0;0
d;4;2;0
d;4;3;0
w;0;0;0
d;4;5;0
w;0;0;0
w;0;0;0
d;4;8;0
d;4;9;0
b;4;10;0
d;4;11;0
d;4;12;0
d;4;13;0
b;4;14;0
w;0;0;0
b;5;2;0
d;5;3;0
d;5;4;0
d;5;5;0
d;5;6;0
w;0;0;0
d;5;8;0
d;5;9;0
d;5;10;0
d;5;11;0
b;5;12;0
d;5;13;0
w;0;0;0
b;6;1;0
d;6;2;0
d;6;3;0
d;6;4;0
d;6;5;0
d;6;6;0
d;6;7;0
d;6;8;0
d;6;9;0
b;6;10;0
d;6;11;0
w;0;0;0
w;0;0;0
w;0;0;0
d;7;1;0
d;7;2;0
d;7;3;0
d;7;4;0
d;7;5;0
d;7;6;0
b;7;7;0
d;7;8;0
d;7;9;0
d;7;10;0
d;7;11;0
b;7;12;0
d;7;13;0
b;7;14;0
b;8;1;0
b;8;2;0
b;8;3;0
d;8;4;0
w;0;0;0
d;8;6;0
b;8;7;0
d;8;8;0
d;8;9;0
w;0;0;0
w;0;0;0
d;8;12;0
d;8;13;0
b;8;14;0
b;9;1;0
d;9;2;0
d;9;3;0
d;9;4;0
d;9;5;0
w;0;0;0
d;9;7;0
d;9;8;0
b;9;9;0
d;9;10;0
d;9;11;0
w;0;0;0
d;9;13;0
b;9;14;0
b;10;1;0
d;10;2;0
d;10;3;0
d;10;4;0
d;10;5;0
d;10;6;0
w;0;0;0
d;10;8;0
d;10;9;0
d;10;10;0
d;10;11;0
w;0;0;0
d;10;13;0
b;10;14;0
d;11;1;0
b;11;2;0
d;11;3;0
d;11;4;0
b;11;5;0
d;11;6;0
w;0;0;0
d;11;8;0
b;11;9;0
d;11;10;0
b;11;11;0
d;11;12;0
w;0;0;0
d;11;14;0
d;12;1;0
b;12;2;0
d;12;3;0
b;12;4;0
d;12;5;0
a;12;6;0
w;0;0;0
h;12;8;0
b;12;9;0
d;12;10;0
b;12;11;0
d;12;12;0
d;12;13;0
b;12;14;0
d;13;1;0
b;13;2;0
d;13;3;0
d;13;4;0
b;13;5;0
d;13;6;0
w;0;0;0
d;13;8;0
b;13;9;0
d;13;10;0
b;13;11;0
d;13;12;0
d;13;13;0
d;13;14;0
d;14;1;0
d;14;2;0
b;14;3;0
d;14;4;0
d;14;5;0
d;14;6;0
w;0;0;0
d;14;8;0
d;14;9;0
d;14;10;0
d;14;11;0
d;14;12;0
d;14;13;0
b;14;14;0
w;0;0;0
d;15;2;0
w;0;0;0
w;0;0;0
b;15;5;0
d;15;6;0
d;15;7;0
d;15;8;0
b;15;9;0
d;15;10;0
d;15;11;0
d;15;12;0
d;15;13;0
b;15;14;0
b;16;1;0
d;16;2;0
b;16;3;0
b;16;4;0
d;16;5;0
d;16;6;0
d;16;7;0
d;16;8;0
d;16;9;0
d;16;10;0
d;16;11;0
b;16;12;0
d;16;13;0
d;16;14;0
b;17;1;0
d;17;2;0
d;17;3;0
b;17;4;0
d;17;5;0
b;17;6;0
d;17;7;0
d;17;8;0
d;17;9;0
d;17;10;0
b;17;11;0
d;17;12;0
d;17;13;0
b;17;14;0
b;18;1;0
d;18;2;0
d;18;3;0
b;18;4;0
d;18;5;0
b;18;6;0
b;18;7;0
b;18;8;0
d;18;9;0
w;0;0;0
w;0;0;0
b;18;12;0
d;18;13;0
w;0;0;0
w;0;0;0
d;19;2;0
w;0;0;0
d;19;4;0
d;19;5;0
d;19;6;0
d;19;7;0
d;19;8;0
d;19;9;0
w;0;0;0
w;0;0;0
d;19;12;0
d;19;13;0
w;0;0;0
w;0;0;0
d;20;2;0
w;0;0;0
w;0;0;0
d;20;5;0
d;20;6;0
b;20;7;0
b;20;8;0
w;0;0;0
w;0;0;0
d;20;11;0
d;20;12;0
d;20;13;0
b;20;14;0
b;21;1;0
d;21;2;0
d;21;3;0
d;21;4;0
b;21;5;0
d;21;6;0
d;21;7;0
d;21;8;0
d;21;9;0
d;21;10;0
d;21;11;0
b;21;12;0
d;21;13;0
d;21;14;0
b;22;1;0
l;22;2;2
d;22;3;0
d;22;4;0
d;22;5;0
d;22;6;0
w;0;0;0
b;22;8;0
d;22;9;0
d;22;10;0
d;22;11;0
d;22;12;0
l;22;13;3
d;22;14;0
w;0;0;0
d;23;2;0
b;23;3;0
b;23;4;0
b;23;5;0
b;23;6;0
w;0;0;0
w;0;0;0
d;23;9;0
b;23;10;0
b;23;11;0
b;23;12;0
d;23;13;0
d;23;14;0
